Product Url,Product Name,Brand,Product ID,Price,Rating,Number of Reviews,Parent Category,Sub Category,Sales Rank(in parent category),Sales Rank(in sub category),Release Date,Country of Origin,Purchased in Last Month
https://www.amazon.com/Ring-Pan-Tilt-Indoor-Cam-White/dp/B0CG2VS5FD/ref=zg_bs_g_amazon-devices_d_sccl_28/135-4977875-3732765?psc=1,"Ring Pan-Tilt Indoor Cam | See all around your home or business with 360° pan coverage, HD video, plus Two-Way Talk (2024 release) | White",Ring,B0CG2VS5FD,39.99,4.7,5187.0,,,,,,,
https://www.amazon.com/Blink-Outdoor-4th-Gen-2-Camera/dp/B0B1N6B8QT/ref=zg_bs_g_amazon-devices_d_sccl_29/135-4977875-3732765?psc=1,"Blink Outdoor 4 (newest model), Wireless smart security camera, two-year battery, 1080p HD day and infrared night live view, two-way talk – 2 camera system",Blink,B0B1N6B8QT,52.49,4.2,42891.0,,,,,,,
https://www.amazon.com/Amazon-Echo-Spot-2024-release-Smart-alarm-clock-with-vibrant-sound-Alexa-Black/dp/B0BFC7WQ6R/ref=zg_bs_g_amazon-devices_d_sccl_30/135-4977875-3732765?psc=1,"Amazon Echo Spot (newest model), Great for nightstands, offices and kitchens, Smart alarm clock with Alexa, Black",Amazon Echo & Alexa,B0BFC7WQ6R,37.49,4.6,31909.0,,,,,,,
https://www.amazon.com/INSIGNIA-40-inch-LED-FHD-Fire-TV/dp/B0F7RXTN1Y/ref=zg_bs_g_amazon-devices_d_sccl_31/135-4977875-3732765?psc=1,"INSIGNIA 40"" Class F40 Series LED Full HD Smart Fire TV with Alexa Voice Remote (NS-40F401NA26)",INSIGNIA,B0F7RXTN1Y,109.99,4.5,511.0,Amazon Devices & Accessories,Televisions,31.0,2.0,"May 29, 2025",,
https://www.amazon.com/All-new-Amazon-Kindle-Paperwhite-Signature/dp/B0C8RR4WN3/ref=zg_bs_g_amazon-devices_d_sccl_32/135-4977875-3732765?psc=1,"Amazon Kindle Paperwhite Signature Edition 32GB (newest model) – Our fastest Kindle with auto-adjusting front light, wireless charging, and weeks of battery life – Metallic Black",Amazon Kindle,B0C8RR4WN3,199.99,4.6,6924.0,,,,,,,
https://www.amazon.com/Ring-Chime-Pro/dp/B07WML2XTD/ref=zg_bs_g_amazon-devices_d_sccl_33/135-4977875-3732765?psc=1,Ring Chime Pro,Ring,B07WML2XTD,58.4,4.6,55479.0,,,,,,,
https://www.amazon.com/Blink-Wired-Floodlight-Camera-White/dp/B0B5VLCL1N/ref=zg_bs_g_amazon-devices_d_sccl_34/135-4977875-3732765?psc=1,"Blink Wired Floodlight Camera - Smart security camera, 2600 lumens, HD live view, enhanced motion detection, built-in siren, Works with Alexa – 1 camera (White)",Blink,B0B5VLCL1N,49.99,4.2,10869.0,,,,,,,
https://www.amazon.com/Amazon-Paperwhite-Lightweight-Water-Safe-Protective/dp/B0CM7X424T/ref=zg_bs_g_amazon-devices_d_sccl_35/135-4977875-3732765?psc=1,"Amazon Kindle Paperwhite and Kindle Colorsoft Case, Lightweight and Water-Safe, Foldable Protective Cover - Fabric",Brand: Amazon,B0CM7X424T,36.99,4.7,6700.0,,,,,"October 20, 2024",,
https://www.amazon.com/Ring-Outdoor-Weather-Resistant-Camera-Two-Way/dp/B0C5QRZ47P/ref=zg_bs_g_amazon-devices_d_sccl_36/135-4977875-3732765?psc=1,"Ring Outdoor Cam (Stick Up Cam) | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-Way Talk, Motion alerts, Works with Alexa | White",Ring,B0C5QRZ47P,59.99,4.6,59183.0,,,,,,,
https://www.amazon.com/Eero-6-Extender/dp/B085VQVPJK/ref=zg_bs_g_amazon-devices_d_sccl_37/135-4977875-3732765?psc=1,"Amazon eero 6 mesh wifi extender - Add up to 1,500 sq. ft. of Wi-Fi 6 coverage to your existing eero mesh wifi network",eero,B085VQVPJK,54.99,4.4,27237.0,,,,,,,
https://www.amazon.com/Amazon-smart-plug-works-with-Alexa/dp/B089DR29T6/ref=zg_bs_g_amazon-devices_d_sccl_38/135-4977875-3732765?psc=1,"Amazon Smart Plug | Works with Alexa | Simple setup, endless possibilities",Amazon Smart Home,B089DR29T6,24.99,4.7,570331.0,,,,,,,
https://www.amazon.com/Ring-Floodlight-Wired-Motion-Detection/dp/B0CG6VFFVL/ref=zg_bs_g_amazon-devices_d_sccl_39/135-4977875-3732765?psc=1,"Ring Floodlight Cam Wired Pro with Bird’s Eye View and 3D Motion Detection, White",Ring,B0CG6VFFVL,159.99,4.6,10333.0,,,,,,,
